session_id,duration_min,source_hash_status,asr_status,asr_sentence_count,asr_coverage_status,host_speech_usable_status,vision_window_count,vision_covered_seconds,vision_coverage_pct,vision_missing_pct,base_scan_60s_estimated_windows,dense_scan_20s_estimated_windows,comment_event_count,reply_candidate_count,comment_reply_determined_pct,action_field_coverage_pct,prosody_field_coverage_pct,course_effective_match_pct,manual_review_count,coverage_status,required_remediation
latest_live_01,98.92,unchanged,succeeded,1108,partial_needs_audio_source_classification,missing_field,20,160.0,2.7,97.3,99,297,49,20,0.0,1.77,100.0,0.0,80,partial,"base_scan_60s,dense_scan_for_comment_motion,audio_source_classification,semantic_event_segmentation"
latest_live_02,96.85,unchanged,succeeded,999,partial_needs_audio_source_classification,missing_field,20,160.0,2.75,97.25,97,291,48,19,0.0,1.86,99.9,0.0,80,partial,"base_scan_60s,dense_scan_for_comment_motion,audio_source_classification,semantic_event_segmentation"
latest_live_03,41.65,unchanged,succeeded,497,partial_needs_audio_source_classification,missing_field,9,72.0,2.88,97.12,42,125,18,9,0.0,1.78,100.0,0.0,80,partial,"base_scan_60s,dense_scan_for_comment_motion,audio_source_classification,semantic_event_segmentation"
latest_live_04,26.54,unchanged,succeeded,280,partial_needs_audio_source_classification,missing_field,6,48.0,3.01,96.99,27,80,12,6,0.0,2.1,100.0,0.0,80,partial,"base_scan_60s,dense_scan_for_comment_motion,audio_source_classification,semantic_event_segmentation"
latest_live_05,32.37,unchanged,succeeded,343,partial_needs_audio_source_classification,missing_field,7,56.0,2.88,97.12,33,98,10,7,0.0,2.0,100.0,0.0,80,partial,"base_scan_60s,dense_scan_for_comment_motion,audio_source_classification,semantic_event_segmentation"
latest_live_06,56.66,unchanged,succeeded,642,partial_needs_audio_source_classification,missing_field,12,96.0,2.82,97.18,57,170,28,12,0.0,1.83,100.0,0.0,80,partial,"base_scan_60s,dense_scan_for_comment_motion,audio_source_classification,semantic_event_segmentation"
latest_live_07,95.01,unchanged,succeeded,998,partial_needs_audio_source_classification,missing_field,20,160.0,2.81,97.19,96,286,39,19,0.0,1.87,99.9,0.0,80,partial,"base_scan_60s,dense_scan_for_comment_motion,audio_source_classification,semantic_event_segmentation"
latest_live_08,65.6,unchanged,succeeded,775,partial_needs_audio_source_classification,missing_field,14,112.0,2.85,97.15,66,197,34,13,0.0,1.65,99.87,0.0,80,partial,"base_scan_60s,dense_scan_for_comment_motion,audio_source_classification,semantic_event_segmentation"
latest_live_09,37.98,unchanged,succeeded,450,partial_needs_audio_source_classification,missing_field,8,64.0,2.81,97.19,38,114,22,8,0.0,1.75,100.0,0.0,80,partial,"base_scan_60s,dense_scan_for_comment_motion,audio_source_classification,semantic_event_segmentation"
latest_live_10,107.87,unchanged,succeeded,1204,partial_needs_audio_source_classification,missing_field,22,176.0,2.72,97.28,108,324,42,21,0.0,1.79,100.0,0.0,80,partial,"base_scan_60s,dense_scan_for_comment_motion,audio_source_classification,semantic_event_segmentation"
