gap_id,asset_or_capability,current_status,evidence,impact,pilot_action,fallback,owner,gate_status
G001,new_recording_inventory,confirmed,"最新直播下10个非AppleDouble MP4；ffprobe均可读","可建立source/session清单","计算3个pilot源SHA-256并锁定相对路径","任一源损坏则换同类候选并记录blocked","Codex5.5","pass_for_planning"
G002,video_audio_streams,confirmed,"10个视频均含视频流和AAC音轨；分辨率576x1280至1320x2868","支持只读技术probe","核对stream start/duration与source duration","内容级同步不成立时进入manual_sync_review","Codex5.5","pass_for_planning"
G003,comment_visibility,partially_true,"3个代表录屏共9个抽样帧均可见评论区","可设计OCR和隐私路线；不能证明全程可见","每个pilot窗口建立30个评论事件人工金标准","评论不可读则只做关键窗口人工标注","Codex5.5","pilot_required"
G004,comment_privacy,confirmed,"抽样帧可见账号标识；临时帧已删除","原始OCR或截图误入Git风险高","raw_local与redacted_repo物理隔离；提交前PII扫描","任何脱敏失败即停止repo写入","Codex5.5+reviewer","hard_gate"
G005,local_asr_engine,blocked,"requirements无whisper；faster_whisper和whisper import失败","无法自动提取主播原话/时间戳","执行前确认已授权可复现ASR路线","人工转写3x180秒pilot窗口","User/Codex5.5","blocked_need_authorized_asr_route"
G006,local_ocr_engine,blocked,"tesseract命令与pytesseract模块不可用","无法自动OCR评论滚动","执行前确认已授权OCR路线","人工标注关键评论窗口","User/Codex5.5","blocked_need_authorized_ocr_route"
G007,video_reading_tooling,confirmed,"ffprobe/ffmpeg可用；scripts/validate_videoretalk_inputs.py包含ffprobe入口","可做元数据和输入准备","只读probe并记录audit_or_input_preparation_not_fallback","脚本不匹配长录屏时直接调用ffprobe","Codex5.5","pass"
G008,visual_action_observability,partially_true,"抽样帧可见表情/视线/手势/道具；cv2可用","可建立观察字段；不能证明自动识别","人工标30个动作事件并评估候选抽取","只记录observed；默认neutral_idle","Codex5.5+human","pilot_required"
G009,course_action_labels,partially_true,"课程质量报告：19424动作窗口全部低置信","不可直接迁入直播自动规则","仅作为候选taxonomy；逐条保留review_flag","不适配或不清晰时neutral_idle","Codex5.6","hard_review_gate"
G010,course_prosody_labels,partially_true,"课程质量报告：19424节奏窗口基于文本关键词推测","不能当真人音频语气事实","pilot从音频测停顿/语速并人工核对","无法测量则prosody字段null+review","Codex5.5","pilot_required"
G011,course_lesson_chunk_index,confirmed,"lesson_id_mapping=1610；bridge CSV=19424数据行","可做lesson/chunk/topic候选检索","建立候选top_k与source_ref","检索不可用则人工按topic查表","Codex5.5","pass_for_candidate_only"
G012,course_full_transcript_source,blocked,"source_ref指向previous_pack；full_source为历史Windows路径；当前workspace无full_transcript_clean.jsonl","无法做逐句精确对齐","只做chunk/topic；记录不可达source_ref","exact_quote标blocked/待补全","User/Data owner","blocked_exact_alignment"
G013,course_alignment_engine,pending_validation,"仓库无独立本地课程检索实现","无法确认检索性能和误匹配率","pilot先用可审计规则/人工top_k","只保留候选不落最终课程对应","Codex5.5","pilot_required"
G014,comment_reply_causality,pending_validation,"现有仓库无已验证因果匹配器","时间接近可能错配","建立候选边并人工核对每窗口至少30个关系","uncertain/topic_only/unanswered","Codex5.6","hard_review_gate"
G015,long_video_resume,pending_validation,"既有课程包有历史续跑说明；新录屏流水线尚未实现","长视频中断可能重复或覆盖","pilot执行中断恢复与幂等测试","lane checkpoint后人工合并","Codex5.5","pilot_required"
G016,event_schema,confirmed,"本目录提供event_schema.json与字段合同","Codex5.5有稳定输出边界","执行前锁schema_version=1.0.0","版本变化需migration note","Codex5.6","pass_for_pilot"
G017,pilot_sample_classification,pending_validation,"三个窗口仅由视觉密度/商品卡/主播动作选为目标槽位","可能不匹配课程讲解/评论密集/促单语义","每窗口先做30秒ASR或人工听审","在10个候选中替换同类窗口","Codex5.5","preflight_required"
G018,raw_repo_separation,confirmed,"09文件定义raw_local/redacted_repo与fail-closed规则","可防止原始评论进入Git","用独立根目录和allowlist stage","扫描不通过则blocked","Codex5.5+reviewer","hard_gate"
G019,existing_live_analysis_structure,confirmed,"既有方案和5 Sheet Excel存在","无需另起平行体系","新规划作为其子目录；后续映射到5 Sheet","不修改既有模板","Codex5.6","pass"
G020,project_fact_workspace_staleness,partially_true,"两个早期事实文件仍写旧Documents路径；根AGENTS和P0写WD_BLACK","可能误导后续执行","所有执行单重复锁定当前workspace","路径不一致立即blocked_wrong_workspace","Repository owner","document_debt_not_blocking_plan"
G021,repo_ignore_boundary,confirmed,"docs受.git/info/exclude影响","普通git add不会暂存规划文件","仅对13个明确文件git add -f","禁止git add .","Codex5.6","hard_git_gate"
G022,external_paid_api,blocked,"本轮明确禁止付费API；Qwen/Alibaba probe脚本不执行","不能依赖云模型补齐ASR/OCR","保持本地/人工pilot路线","需要API时另行授权","User","blocked_by_scope"
G023,source_hashes,pending_validation,"规划阶段未对约30GB的10个源做全量hash","event追溯需要hash","只对3个pilot源计算SHA-256；full前逐源计算","hash缺失不生成event","Codex5.5","pilot_preflight_required"
G024,business_outcome_data,blocked,"客户主观标签不等于成交证据","不能判断成交/转化","仅记录视觉/表达/事件事实","业务结论保持未知","Business owner","out_of_scope"
